# y+ ()       
# Time        	patch         	min           	max           	average       
0.00488       	carMirror	5.740096e-02	2.126230e+02	2.654340e+01
0.00496       	back	2.370834e+00	9.614878e+02	1.323634e+02
0.00496       	carMirror	6.013325e-02	2.082885e+02	2.657621e+01
0.00504       	back	2.597211e+00	9.907407e+02	1.338263e+02
0.00504       	carMirror	5.630045e-02	2.150153e+02	2.660883e+01
0.00512       	back	2.532552e+00	1.020773e+03	1.351886e+02
0.00512       	carMirror	5.706222e-02	2.210289e+02	2.665701e+01
0.0052        	back	2.187394e+00	1.032083e+03	1.365221e+02
0.0052        	carMirror	5.638914e-02	2.212104e+02	2.671360e+01
0.00528       	back	2.215451e+00	1.066223e+03	1.378688e+02
0.00528       	carMirror	5.308776e-02	2.121744e+02	2.676276e+01
0.00536       	back	2.735180e+00	1.067426e+03	1.392439e+02
0.00536       	carMirror	5.162523e-02	2.087123e+02	2.680534e+01
0.00544       	back	2.882264e+00	1.070774e+03	1.406559e+02
0.00544       	carMirror	5.460732e-02	2.089189e+02	2.685123e+01
0.00552       	back	2.829233e+00	1.099145e+03	1.420275e+02
0.00552       	carMirror	5.761331e-02	2.086861e+02	2.689848e+01
0.0056        	back	2.851877e+00	1.165630e+03	1.433952e+02
0.0056        	carMirror	6.388294e-02	2.229865e+02	2.696053e+01
0.00568       	back	3.089306e+00	1.226954e+03	1.448796e+02
0.00568       	carMirror	7.234254e-02	2.287812e+02	2.703433e+01
0.00576       	back	3.575224e+00	1.274417e+03	1.464212e+02
0.00576       	carMirror	8.304006e-02	2.394010e+02	2.712599e+01
0.00584       	back	4.169386e+00	1.326338e+03	1.479358e+02
0.00584       	carMirror	8.943784e-02	2.447025e+02	2.720991e+01
0.00592       	back	4.158718e+00	1.389680e+03	1.492895e+02
0.00592       	carMirror	9.093027e-02	2.497444e+02	2.729978e+01
0.006         	back	4.982166e+00	1.441703e+03	1.503154e+02
0.006         	carMirror	9.734987e-02	2.400078e+02	2.741651e+01
